A Ballad,Gerry Mulligan & Stan Getz
A Beautiful Friendship,Jeremy Davenport
A Beautiful Friendship,Johnny Varro Trio
A Bench In The Park,Ralf Ruh Trio
A Brush With Bunj,James Morrison
A Bunch Of The Blues / Keester Parade / TNT / Tiny's Blues (Medley),Mel Tormé And The Mel-Tones
A California,Nighthawks
A Cappella In Acapulco,Voxtasy
A Child Is Born,Abbey Lincoln
A Child Is Born,Gene Harris & The Philip Morris Superband
A Child Is Born,Oscar Peterson
A Child With A Toy,Lou Rawls
A Cryin' Shame,Cleo Laine
A Dance From Afar,Adrian Mira
A felicidade,Romero Lubambo
A felicidade (Happiness),Susannah McCorkle
A Fine Romance,Barbara Lea And The Ed Polcer All-Stars
A Fine Romance,Hubert Fol Quartet
A Fine Romance,Joe Williams And The Count Basie Orchestra
A Fine Romance,Kate Michaels
A Fine Romance,Stacey Kent
A Fine Romance,Sugar and the Josephines
A Flat Minor,Duke Ellington Orchestra
A Flick Of Trick,Grant Green
A Flower Is A Lovesome Thing,Enrico Pieranunzi / Marc Johnson / Joey Baron
A Flower Is A Lovesome Thing,Enrico Pieranunzi / Marc Johnson / Joey Baron
A Foggy Day,Chet Baker
A Foggy Day,Ella Fitzgerald & Louis Armstrong
A Foggy Day,George Benson
A Foggy Day,Raphael Jost Standards Trio
A Foggy Day,Rebecca & The Sophistocats
A Foggy Day,Super Trio
A Foggy Day,Three's A Crowd
A Foggy Day,Willie Nelson
A Foggy Day In London Town,René Scholl Jazztet
A Funky Day In Paris,Johnny Letman
A Gal In Calico,Herb Geller
A Gal In Calico,Miles Davis
A Good Fool Is Hard To Find,Bluecerne
A Good Git-Together,Wes Montgomery All-Stars
A Good Man Is Hard To Find,Christina Elisabeth Jaccard
A Grand Night For Swinging,Wes Montgomery & Billy Taylor Trio
A Guy What Takes His Time,Joachim Palden feat. Dana Gillespie
A Handful Of Stars,Serge Chaloff
A Hard Day's Night,Ramsey Lewis Trio
A Holly Jolly Christmas,Michael Bublé
A Hundred Years from Today,Barbara Lea & Johnny Varro
A Hundred Years From Today,Charles Brown
A Hundred Years from Today,Doris Day
A Hundred Years From Today,Jan Lundgren Trio feat. Deborah Brown
A Isa,Fernando Fantini
A Jam With Slam,Slam Stewart
A kiss to build a dream on,Charlie Byrd
A Kiss To Build A Dream On,Jonah Jones Quartet
A Kiss To Build A Dream On,Louis Armstrong
A Kiss To Build A Dream On,Tremble Kids All Stars
A Lad Named Charlie,Mundell Lowe
A Little Bit,Madeleine Peyroux
A Little Closer,Alexia Gardner
A Little Crush,Mya N
A Little Jive Is Good For You,Duchess
A Little Taste Of Honey,"Cédric Gysler, Evaristo Pérez & Raphael Nick"
A Love That Will Last,Renee Olstead
A Lovely Day,Heridos de Sombra
A Lovely Way To Spend An Evening,Ernestine Anderson
A Lover's Lullaby,Carla Cook
A Man And A Woman,Jazz Maniacs
A Man's Most Important Thing,Elias Bernet Band
A Mothers Love,Roscoe Chenier
A New York Tourist In Paris,Claude Tissendier Saxomania & Clark Terry
A Night At Q4,Richard Lipiec Quartet
A Night In Tunesia,Django Deluxe
A Place Called Cima,Tom Mueller's Hot BBQ
A Question of Blues,Peter Schnur / Gernot Kögel / Christian Maurer
A River's Invitation,Barbara Morrison
A Simple Life (Tuesday Knights),Denzal Sinclaire
A Sleepin' Bee,Charles Mingus & Quincy Jones Orchestra
A Sleepin' Bee,Melissa Morgan
A Smooth One,Danny Moss meets Buddha's Gamblers
A Smooth One,Isla Eckinger & Riner Scivally
A Smooth One,Jazz Shakers
A Smooth One,J.M.Rhythm Four & Peter Appleyard
A Smooth One,Johnny Varro feat. Ken Peplowski
A Smooth One,Mel Tormé & The Mel-Tones
A Smooth One,Swing Makers
A Smooth One,Willy Bischof Jazztet
A Song For Christmas,Charles Brown
A Song For You,Donny Hathaway
A Song For You,Michael Bublé feat. Chris Botti
A Songwriter In New York,Pippo Pollina & Linard Bardill
A String Of Pearls,Swiss Army Big Band
A Sunday Kind Of Love,Ruth Cameron
A Tale Of Howard Alden,Frank Roberscheuten
A Taste Of Honey,Paul Desmond feat. Jim Hall
A Time For Love,David Hazeltine
A Very Good Thing,Rick Braun
A Very Hip Rock And Roll Tune,Hank Jones
A Walk In The Park (With James),Dena DeRose
A Whiter Shade Of Pale,Heridos de Sombra
A Wink And A Smile,Stella Bass
A Woman Don't Care,Lucky Peterson
A Woman Just Like You,Curtis Stigers
A Wonderful Guy,Oscar Peterson Trio & Milt Jackson
A 01/01/10,Biréli Lagrène
Abatina,Calypso Rose
Abundance,Kiki Sanchez
Abundance,Scott Hamilton
Accentuate The Positive,Dr. John
Accentuate The Positive,Johnny Mercer
Acid,Ray Barretto
Acoustic Rhythm,Joscho Stephan's Acoustic Rhythm
Across The Track Blues,Gerry Mulligan
Across The Universe,Walter Lang Trio
